Date,Time,NU-06,Scada
31-05-2021,00:00:00,0.0,50.88
31-05-2021,00:15:00,0.0,51.27
31-05-2021,00:30:00,0.0,50.51
31-05-2021,00:45:00,0.0,49.83
31-05-2021,01:00:00,0.0,49.75
31-05-2021,01:15:00,0.0,48.77
31-05-2021,01:30:00,0.0,47.74
31-05-2021,01:45:00,0.0,47.63
31-05-2021,02:00:00,0.0,47.22
31-05-2021,02:15:00,0.0,47.47
31-05-2021,02:30:00,0.0,47.07
31-05-2021,02:45:00,0.0,46.71
31-05-2021,03:00:00,0.0,46.15
31-05-2021,03:15:00,0.0,46.24
31-05-2021,03:30:00,0.0,46.15
31-05-2021,03:45:00,0.0,46.29
31-05-2021,04:00:00,0.0,46.72
31-05-2021,04:15:00,0.0,46.56
31-05-2021,04:30:00,0.0,46.09
31-05-2021,04:45:00,0.0,46.6
31-05-2021,05:00:00,0.0,44.61
31-05-2021,05:15:00,0.0,41.66
31-05-2021,05:30:00,0.0,39.68
31-05-2021,05:45:00,0.0,37.83
31-05-2021,06:00:00,0.0,32.06
31-05-2021,06:15:00,0.0,27.73
31-05-2021,06:30:00,0.0,26.34
31-05-2021,06:45:00,0.0,24.55
31-05-2021,07:00:00,0.0,24.67
31-05-2021,07:15:00,0.0,25.42
31-05-2021,07:30:00,0.0,27.4
31-05-2021,07:45:00,0.0,29.8
31-05-2021,08:00:00,0.0,32.31
31-05-2021,08:15:00,0.0,35.84
31-05-2021,08:30:00,0.0,38.16
31-05-2021,08:45:00,0.0,42.7
31-05-2021,09:00:00,0.0,46.35
31-05-2021,09:15:00,0.0,50.91
31-05-2021,09:30:00,0.0,53.74
31-05-2021,09:45:00,0.0,54.98
31-05-2021,10:00:00,0.0,59.55
31-05-2021,10:15:00,0.0,62.02
31-05-2021,10:30:00,0.0,63.36
31-05-2021,10:45:00,0.0,65.29
31-05-2021,11:00:00,0.0,63.56
31-05-2021,11:15:00,0.0,63.92
31-05-2021,11:30:00,0.0,64.84
31-05-2021,11:45:00,0.0,64.55
31-05-2021,12:00:00,0.0,66.68
31-05-2021,12:15:00,0.0,74.45
31-05-2021,12:30:00,0.0,73.23
31-05-2021,12:45:00,0.0,61.5
